parameter,scenario,output,mu_star,sigma,n_effects
norm_threshold_beta_alpha,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.0007817237460490863,0.001084756960973407,6
importation_pulse_period_ticks,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.0006256217811587325,0.0008033914393485789,6
norm_response_slope,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.0003164065124228917,0.0004775077647498457,6
high_degree_target_percentile,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.0002251037013401458,0.00034650814583545654,6
high_exposure_target_percentile,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.00016714350904637834,0.00013936633392977354,6
low_legitimacy_target_percentile,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.00014366582353157278,0.0002207419769168302,6
state_update_noise_std,access_barrier_shock__shock,vax_willingness_T12_mean,0.6033420066791825,0.6382552974545846,6
bridge_prob,access_barrier_shock__shock,vax_willingness_T12_mean,0.13328886742955537,0.1467411773456664,6
state_relaxation_fast,access_barrier_shock__shock,vax_willingness_T12_mean,0.06766304287677845,0.08324653349523842,6
k_social,access_barrier_shock__shock,vax_willingness_T12_mean,0.05244852545567885,0.05586362453844264,6
incidence_alpha_protection,access_barrier_shock__shock,vax_willingness_T12_mean,0.042561144326735224,0.0518608010444482,6
incidence_alpha_vax,access_barrier_shock__shock,vax_willingness_T12_mean,0.036981231673678394,0.04720901527064128,6
stakes_to_infection_multiplier,access_barrier_shock__shock,vax_willingness_T12_mean,0.02941744583218053,0.0355285626887067,6
stakes_to_fear_multiplier,access_barrier_shock__shock,vax_willingness_T12_mean,0.025004769943190345,0.03596700427160867,6
norm_threshold_min,access_barrier_shock__shock,vax_willingness_T12_mean,0.020118120068358298,0.022894516264994603,6
norm_threshold_max,access_barrier_shock__shock,vax_willingness_T12_mean,0.01995075086635249,0.02500820437632502,6
k_feedback_stakes,access_barrier_shock__shock,vax_willingness_T12_mean,0.018874538576933254,0.012987982591920367,6
state_relaxation_slow,access_barrier_shock__shock,vax_willingness_T12_mean,0.01771804406626387,0.021458695398068568,6
importation_targeted_local_bump,access_barrier_shock__shock,vax_willingness_T12_mean,0.015785730261962765,0.022020622024783155,6
importation_pulse_amplitude,access_barrier_shock__shock,vax_willingness_T12_mean,0.015257954921044833,0.021399313158686407,6
contact_rate_multiplier,access_barrier_shock__shock,vax_willingness_T12_mean,0.015215494469190141,0.013427127513745224,6
importation_outbreak_floor,access_barrier_shock__shock,vax_willingness_T12_mean,0.010596269490363852,0.0133287132144325,6
community_incidence_baseline,access_barrier_shock__shock,vax_willingness_T12_mean,0.00946400794045843,0.011231343529079434,6
incidence_gamma,access_barrier_shock__shock,vax_willingness_T12_mean,0.008949143746741743,0.010818812012213205,6
homophily_gamma,access_barrier_shock__shock,vax_willingness_T12_mean,0.008043121958569563,0.008488827441056208,6
social_weight_delta_trust,access_barrier_shock__shock,vax_willingness_T12_mean,0.007845712225002582,0.007855436798885654,6
social_weight_delta_norm,access_barrier_shock__shock,vax_willingness_T12_mean,0.006520844127118309,0.008150620141150347,6
k_incidence,access_barrier_shock__shock,vax_willingness_T12_mean,0.006154409060529502,0.007135546223967487,6
importation_pulse_width_ticks,access_barrier_shock__shock,vax_willingness_T12_mean,0.0038061775973593135,0.004516843190388558,6
distance_tracking_max_hops,access_barrier_shock__shock,vax_willingness_T12_mean,0.0024397257630421145,0.0022784132713001295,6
peer_pull_interactions_per_agent,access_barrier_shock__shock,vax_willingness_T12_mean,0.0017156432026445717,0.0019285003106311513,6
burn_in_ticks,access_barrier_shock__shock,vax_willingness_T12_mean,0.0016219861370331044,0.0015078212989859242,6
importation_pulse_start_tick,access_barrier_shock__shock,vax_willingness_T12_mean,0.0015623516228231438,0.0018676922606698369,6
norm_threshold_beta_alpha,access_barrier_shock__shock,vax_willingness_T12_mean,0.0007046226533523973,0.0006854831007464559,6
importation_pulse_period_ticks,access_barrier_shock__shock,vax_willingness_T12_mean,0.0006589254985437757,0.0006975524794363585,6
norm_response_slope,access_barrier_shock__shock,vax_willingness_T12_mean,0.0004176889740122647,0.00046794920032997803,6
high_degree_target_percentile,access_barrier_shock__shock,vax_willingness_T12_mean,0.0002414746388524236,0.0003283413316327424,6
high_exposure_target_percentile,access_barrier_shock__shock,vax_willingness_T12_mean,0.00017718377211804653,0.00012976714846340548,6
low_legitimacy_target_percentile,access_barrier_shock__shock,vax_willingness_T12_mean,0.00016621237564938456,0.00022866214627575534,6
state_update_noise_std,access_intervention__perturbation,mask_when_pressure_high_mean,0.0174618757169398,0.021376334108377613,6
k_social,access_intervention__perturbation,mask_when_pressure_high_mean,0.009579709800813374,0.004191906320115351,6
state_relaxation_slow,access_intervention__perturbation,mask_when_pressure_high_mean,0.009084299203140725,0.009476618000268335,6
state_relaxation_fast,access_intervention__perturbation,mask_when_pressure_high_mean,0.006005427564256631,0.010533961776754518,6
bridge_prob,access_intervention__perturbation,mask_when_pressure_high_mean,0.004429432007888696,0.005426797588215297,6
incidence_gamma,access_intervention__perturbation,mask_when_pressure_high_mean,0.003546083995825061,0.0035342886379964395,6
importation_outbreak_floor,access_intervention__perturbation,mask_when_pressure_high_mean,0.0027830368388492843,0.004081393703898239,6
incidence_alpha_vax,access_intervention__perturbation,mask_when_pressure_high_mean,0.0026812953044696997,0.003633829844874792,6
stakes_to_fear_multiplier,access_intervention__perturbation,mask_when_pressure_high_mean,0.002437901666246594,0.0032642320684536327,6
importation_pulse_amplitude,access_intervention__perturbation,mask_when_pressure_high_mean,0.0023631211401564656,0.002392523987974676,6
stakes_to_infection_multiplier,access_intervention__perturbation,mask_when_pressure_high_mean,0.00232251509348913,0.0030090765456828004,6
community_incidence_baseline,access_intervention__perturbation,mask_when_pressure_high_mean,0.001990919971639471,0.0015696792586865796,6
norm_threshold_min,access_intervention__perturbation,mask_when_pressure_high_mean,0.0018924186289600204,0.0019387415245457574,6
incidence_alpha_protection,access_intervention__perturbation,mask_when_pressure_high_mean,0.001531111136401364,0.0019226608418922648,6
norm_threshold_max,access_intervention__perturbation,mask_when_pressure_high_mean,0.0013469027785362186,0.001774718726660979,6
k_feedback_stakes,access_intervention__perturbation,mask_when_pressure_high_mean,0.0012173603043714413,0.0015505985468137575,6
contact_rate_multiplier,access_intervention__perturbation,mask_when_pressure_high_mean,0.0012122728295757485,0.0012376290572257429,6
importation_targeted_local_bump,access_intervention__perturbation,mask_when_pressure_high_mean,0.0011018386307171113,0.0012940792261990216,6
homophily_gamma,access_intervention__perturbation,mask_when_pressure_high_mean,0.0008144771100499307,0.000986882239852722,6
social_weight_delta_trust,access_intervention__perturbation,mask_when_pressure_high_mean,0.0007033292309522998,0.0010518656074164322,6
k_incidence,access_intervention__perturbation,mask_when_pressure_high_mean,0.0006335475598919738,0.0010527265133821312,6
social_weight_delta_norm,access_intervention__perturbation,mask_when_pressure_high_mean,0.0005445087293488704,0.0007675313451245086,6
burn_in_ticks,access_intervention__perturbation,mask_when_pressure_high_mean,0.00048591622980751484,0.0006144011119421336,6
peer_pull_interactions_per_agent,access_intervention__perturbation,mask_when_pressure_high_mean,0.0002879262623476082,0.0003424814754858035,6
importation_pulse_width_ticks,access_intervention__perturbation,mask_when_pressure_high_mean,0.00027882870203418025,0.00037320855746880146,6
importation_pulse_start_tick,access_intervention__perturbation,mask_when_pressure_high_mean,0.00017074443797445346,0.00022915138615837484,6
importation_pulse_period_ticks,access_intervention__perturbation,mask_when_pressure_high_mean,0.0001567899314807164,0.00016511396703393217,6
distance_tracking_max_hops,access_intervention__perturbation,mask_when_pressure_high_mean,0.00015460975482521158,0.00019928265579496624,6
norm_threshold_beta_alpha,access_intervention__perturbation,mask_when_pressure_high_mean,0.00009002388322976174,0.00010082801214566231,6
norm_response_slope,access_intervention__perturbation,mask_when_pressure_high_mean,0.00005588316831790508,0.000051153364315693725,6
low_legitimacy_target_percentile,access_intervention__perturbation,mask_when_pressure_high_mean,0.000022729636469165368,0.000020985665539183104,6
high_exposure_target_percentile,access_intervention__perturbation,mask_when_pressure_high_mean,0.0000196684070473907,0.000027056443044789515,6
high_degree_target_percentile,access_intervention__perturbation,mask_when_pressure_high_mean,0.000015213909766724024,0.0000224966645929237,6
state_update_noise_std,access_intervention__perturbation,social_norms_descriptive_vax_mean,0.22896655963607535,0.20569312670968798,6
k_social,access_intervention__perturbation,social_norms_descriptive_vax_mean,0.07354262168940787,0.05983023472283909,6
state_relaxation_slow,access_intervention__perturbation,social_norms_descriptive_vax_mean,0.06068312553373071,0.08291016810389223,6
bridge_prob,access_intervention__perturbation,social_norms_descriptive_vax_mean,0.048405340617986244,0.06104265179483684,6
state_relaxation_fast,access_intervention__perturbation,social_norms_descriptive_vax_mean,0.020515136247342507,0.022715623495599923,6
incidence_alpha_vax,access_intervention__perturbation,social_norms_descriptive_vax_mean,0.017566549525085406,0.02603028304914296,6
